Number, River, Drainage.Area, Mean.Runoff, Specific.Runoff
 1, Purari, 3.1, 77, 2.48
 2, Fly, 6.1, 77, 1.26
 3, Orinoco, 99, 1100, 1.11
 4, Hungho, 12, 123, 1.03
 5, Amazon, 615, 6300, 1.02
 6, Irrawaddy, 43, 428, 1.00
 7, Magdalena, 24, 237, 0.988
 8, Susitna, 5, 40, 0.800
 9, Zhu Jiang, 44, 302, 0.686
10, Po, 7, 46, 0.657
11, Ganges/Brahmaputra, 148, 971, 0.656
12, Copper, 6, 39, 0.650
13, Hudson, 2, 12, 0.600
14, Mekong, 79, 470, 0.595
15, Rhone, 9, 49, 0.544
16, Mehandi, 13, 67, 0.515
17, Fraser, 22, 112, 0.509
18, Damodar, 2, 10, 0.500
19, Yangtze, 194, 900, 0.464
20, St. Lawrence, 103, 447, 0.434
21, Columbia, 67, 251, 0.375
22, Zaire, 382, 1250, 0.327
23, Severnay Dvina, 35, 106, 0.303
24, Negro, 10, 30, 0.300
25, Godavari, 31, 84, 0.271
26, Danube, 81, 206, 0.254
27, Indus, 97, 238, 0.245
28, Yukon, 84, 195, 0.232
29, Yenisei, 258, 560, 0.217
30, Lena, 250, 514, 0.206
31, Zambesi, 120, 223, 0.186
32, Mississippi, 327, 580, 0.177
33, Amur, 185, 325, 0.176
34, MacKenzie, 181, 306, 0.169
35, La Plata, 283, 470, 0.166
36, Niger, 121, 192, 0.159
37, Ob, 250, 385, 0.154
38, Indigirka, 36, 55, 0.152
39, Sao Francisco, 64, 97, 0.151
40, Yana, 22, 29, 0.132
41, Kolyma, 64, 71, 0.111
42, Huangho, 77, 49, 0.063
43, Tigris/Euphrates, 105, 46, 0.043
44, Colorado, 64, 20, 0.031
45, Murray, 106, 22, 0.0208
46, Orange, 102, 11, 0.0107
47, Nile, 296, 30, 0.0101